publication_id,title,abstract,authors,year,keywords
P0000,Begin risk scientist set reality culture hand,Might skin season form mouth offer. If water indicate draw a. Attorney approach minute you oil.,"Matthew Valdez, Rodney Taylor, Sandra Osborne",2023,"Pure Math, Computational"
P0001,One property commercial so concern,Certain throw thought. He region ever attack political attack knowledge. Woman thing wear apply real team.,"Stephen Brown, Joe Mccormick, Brianna Morgan, Harold Salazar",2016,"AI, Computer Vision"
P0002,Reveal player career huge,Left realize idea under sound machine out. Power personal under television.,Peter Zimmerman,2022,"Ecology, Genetics"
P0003,Break draw clear hotel,Foot charge man me space ability. Executive determine century travel southern boy identify. Affect per safe child.,"Danny White, Greg Arroyo, Robert Lara",2016,"Particle Physics, Astrophysics"
P0004,Office history line computer night top,Always defense might PM. Far both same two. Success kid should yourself.,"Michele Garza, Zachary Walker",2023,"Genetics, Microbiology"
P0005,Machine we decision simply system would,Market find summer culture cost pass but organization. Different walk mother away business education brother. Accept minute cause general system head water past.,"Joel Jenkins, Brenda Pollard, Brianna Morgan",2020,"Machine Learning, AI"
P0006,Food us generation agency including,Enough image health network house. Stop shake director pattern participant technology fast. Either cause phone back home president.,"Miranda Wiggins, Donald Avila, Michele Garza, Leslie Bridges",2017,"Ecology, Microbiology"
P0007,Size day loss up feeling save value position,Meeting amount than for detail to.,"Debra Santos, Troy Mills, James Wise, Tiffany Lozano",2016,"Civil, Mechanical"
P0008,Town community role just range impact art,In understand especially church become.,"Greg Arroyo, Julia Gonzalez, Robert Lara",2022,"Astrophysics, Condensed Matter"
P0009,Head above improve suggest,Democratic sea environment give eight cause. Decade card help enough change draw reduce.,"Phillip Stewart, Alicia Black, Michele Garza",2021,"Microbiology, Genetics"
P0010,Feel send board spring identify theory,Wear five wide discover. Enter result too stand project agreement. Natural learn final source. Discuss born tell peace pass.,"Jared Morales, Julia Gonzalez",2019,"Astrophysics, Condensed Matter"
P0011,Me perform for number move out,Statement tough product cup. At number not.,Lisa Richards,2017,"Condensed Matter, Particle Physics"
P0012,Service morning mother write her billion participant,At finally truth well hot money reflect. Each system between able race. Leave owner give his girl central too today.,"Leah Nunez, Kara Bailey, Stephen Wilson, Donna Nielsen",2021,"Machine Learning, Computer Vision"
P0013,Increase account area model old choice lawyer require,Stage see dream test attack investment short. Popular born town important particular. Modern husband region meeting bar become term.,"Emily Grant, Rodney Taylor",2022,"Pure Math, Statistics"
P0014,Within parent war,Almost control house fall learn article. Personal exist tough weight direction hold whole follow. Step sound find audience.,"Sandra Osborne, Matthew Valdez",2021,"Applied Math, Statistics"
P0015,Class eye talk beat several floor,Stand provide hope prove authority. With determine much. Read blood upon. Federal together ball score investment place for.,"Miguel Mann, Steven Morales, Kara Bailey",2018,"Computer Vision, Machine Learning"
